round_room_with_high_domed_ceiling	198
squawk_pollibar	199
cracker_squawk_silently_tiny_box_swings_open	200
note_scribbled_on_parchment	201
note_hurriedly_scribbled	202
lack	203
large_round_room_with_high_ceiling	204
slimy_hole	205
game	206
helistar	207
shiny_scroll	208
open_area	209
lobby	210
muddy_bank_of_fast_moving_river_full_of_sharp_rocks_flowing_to_southwest	211
room_of_frobar_enchanter	212
now_provided	213
guild_'s_young_apprentices_live	214
crumbling_turret	215
seat_on_circle	216
Frobar's_Quarters	217
spell_book	218
beginning	219
scribbled_note_(providing_light)	220
silently_tiny_box_swings_open	221
exit_to_up	222
box_swings_open	223
corner_of_room	224
gaspar_spell	225
finished	226
north	227
large_round_room_with_ceiling	228
doddering_enchanter	229
moon	230
pacing	231
room_with_high_ceiling	232
now_somewhat_hungry	233
Belboz,_the_Circle_is_waiting_for_you._Squawk!"	234
tiny_warning_nymph	235
list	236
key	237
journal	238
blighted_woods	239
heavy_volume	240
miznia	241
plant	242
giant	243
Pollibar_want_a_cracker!_Squawk!"	244
personal	245
doorway_to_west	246
brass_receptacle	247
parrot	248
vipers	249
now_very_thirsty	250
marble	251
warning_nymph	252
outside_bed_now_bed	253
yomin_spell	254
izyuk_spell	255
belboz_'s_prized_pet_parrot_native_to_jungles	256
score_is_5_of_a_possible_400,_in_75_moves._This_puts_you_in_the_class_of_Charlatan.	257
high_domed_ceiling	258
volume	259
only_door	260
desk	261
this	262
cracker_squawk_silently_open	263
drawer	264
hallway_rooms	265
5_of_possible_400_in_77_moves	266
now_open	267
pit_full	268
round_room_with_domed_ceiling	269
he	270
possessions	271
light	272
apprentices	273
pulver_spell	274
score_is_5_of_a_possible_400,_in_77_moves._This_puts_you_in_the_class_of_Charlatan.	275
bright_enough	276
issue	277
artisans	278
Where_did_I_leave_my_spectacles?_Squawk!"	279
note_hurriedly_scribbled_on_parchment	280
flat	281
where_guild_'s_apprentices_live	282
waters	283
ruins	284
circle_meeting_place	285
frobar	286
Now_where_can_I_hide_this_key?_Squawk!"	287
eastern_sides	288
personal_chamber	289
personal_chamber_darkwood_desk	290
infocom	291
openings	292
5_of_possible_400_in_73_moves	293
small_ochre	294
path_through_blighted_forest	295
floor	296
chamber_darkwood_desk	297
main_road	298
member_of_the_Messengers_Guild_walks_up_and_puts_something_in_the_receptacle._He_closes_it,_and_rings_the_doorbell._Noticing	299
road	300
frotz	301
polished_marble	302
seat	303
small	304
You_should_never_have_let_down_your_mindshield,_you_doddering_old_Enchanter._Squawk!"	305
guild	306
vial	307
Mine_Field	308
doorbell	309
signpost	310
none	311
squawk_time	312
corridor	313
stand	314
code_of_honor	315
my_spectacles	316
5_of_possible_400_in_78_moves	317
east	318
issue_issue	319
pulver	320
stairway	321
pollibar	322
issue_of_popular_enchanting_silently	323
sweat	324
smaller_openings	325
scribbled_note_begins_to_glow	326
Your_Quarters	327
inc.	328
scribbled_note_begins	329
now_extremely_hungry	330
dull	331
now_quite_hungry	332
shadowy_pit	333
stair	334
session	335
wide_meadow	336
path	337
table	338
belboz_'s_pet_parrot_native_to_jungles_of_miznia	339
dangerous_creatures	340
locusts	341
are_now_a_bit_thirsty.	342
antharian_marble	343
purple	344
are_now_quite_thirsty.	345
room_with_domed_ceiling	346
only_exit	347
exit_to_southeast	348
provided	349
squawk	350
room_with_high_domed_ceiling	351
ruins_of_castle	352
desk_drawer	353
wall_hanging	354
are_now_extremely_hungry.	355
5_of_possible_400_in_74_moves	356
rezrov	357
small_crack	358
are_now_a_bit_hungry.	359
study_chamber	360
one	361
game_position	362
rezrov_spell	363
polished_antharian_marble	364
RESTORE,_or_QUIT)	365
cracker_squawk_tiny_box_swings_open	366
ceiling	367
River_Bank	368
study_chamber_for_members	369
spell	370
winding_stairway	371
large_round_room_with_high_domed_ceiling	372
tree	373
cracker_squawk_open	374
behind_it	375
town_to_shop	376
where_guild_'s_young_apprentices_live	377
center_of_barren_field	378
Forest_Edge	379
closed	380
now_incredibly_thirsty	381
gone	382
are_now_quite_hungry.	383
issue_of_Popular_Enchanting_(providing_light)	384
ochre_vial	385
magic_amulet	386
enchanted	387
issue_silently	388
messengers	389
your_score	390
tacked	391
sledge_hammer	392
depleted_matchbook	393
your_bed	394
town	395
area	396
meeting_place	397
me	398
center_of_room	399
scroll	400
now_closed	401
quarters_helistar	402
large	403
outside_bed_now_bit_hungry	404
one_corner	405
sides	406
chamber_wide_darkwood_desk	407
exotic_morgia_plant	408
cracker_squawk_silently_box_swings_open	409
Meadow	410
depleted	411
doorway	412
are_now_somewhat_thirsty.	413
infotater_journal	414
saved_game_position	415
large_round_room_with_domed_ceiling	416
rocks	417
moat	418
amulet	419
parchment	420
large_room_with_high_ceiling	421
hungry	422
guild_'s_apprentices_live	423
encyclopedia_frobizzica	424
tiny_box_swings_open	425
her	426
servants	427
high_ceiling	428
5_of_possible_400_in_75_moves	429
ground	430
large_room_with_high_domed_ceiling	431
popular_enchanting	432
it	433
departing	434
now_bit	435
main_road_into_town	436
my	437
ochre	438
base_of_signpost	439
spell_book_(providing_light)	440
in_event	441
gurth	442
heavy_door	443
shadowy_pit_full_of_nooks	444
far_corner	445
base	446
Store_Room	447
Guild_Hall_doorbell_chimes.	448
tapestry	449
shiny	450
are_now_very_thirsty.	451
wooden_door	452
Snake_Pit	453
magic_amulet_belboz	454
darkwood	455
tiny_lettering	456
pretty_dull_kind	457
squawk_now	458
shadowy_pit_full	459
morgia_plant	460
hellhound	461
floating_in_air	462
Hallway	463
twisted_forest_path_through_blighted_forest	464
they_strive	465
pass_out_from_lack_of_food_and_water.	466
tiny_box_belboz	467
nymph	468
drawbridge	469
belboz	470
frotz_spell	471
shiny_scroll_(providing_light)	472
entrance_steps	473
scroll_new	474
far_corner_of_room	475
water	476
bathed	477
exotic	478
morgia	479
fly	480
receptacle	481
hall	482
belboz_'s_prized_pet_parrot	483
This_tea_is_cold!_Get_me_another_cup._Squawk!"	484
Lobby	485
yomin	486
sickly_yellow_light_bright_enough	487
black	488
entrance_lobby_of_guild_hall	489
drawbridge_of_ruined_castle	490
tears	491
ornate_brass_receptacle	492
now_somewhat_thirsty	493
pit_full_of_nooks	494
squawk_you	495
Your_Quarters,_in_the_bed	496
gnusto_spell	497
exit_to_west	498
wide_darkwood_desk	499
guild_'s_apprentices	500
Drawbridge	501
apprentice_quarters	502
exit_to_east	503
southernmost_point_of_perimeter	504
you_like_to_restart_the_game_from_the_beginning,_restore_a_saved_game_position,_or_end_this_session_of_the_game?_(Type	505
Apprentice_Quarters	506
in_event_of_its_death	507
bank	508
heavy	509
marble_archway	510
trademark	511
wide_arch	512
now_bed	513
note_scribbled	514
round	515
turret	516
have_lax	517
