	0
bites_-_old_fashioned_lamp_-_evil_smelling_mud	146
chigger_bites_-_*DIAMOND_RING*_-_old_fashioned_lamp	147
axe_(magic_word-_BUNYON_-on_it)_-_*JEWELLED_FRUIT*	148
evil_smelling_mud_water_fish_axe_sign	149
north	150
bites_-_*JEWELLED_FRUIT*_-_chiggers	151
diamond	152
-_infected_chigger_bites	153
bites_-_old_fashioned_lamp_-_*JEWELLED_FRUIT*_-_chiggers	154
chiggers	155
water_fish_axe_sign	156
of_skeleton_keys_-_chigger_bites_-_chiggers	157
mud_water_golden_fish_axe_sign	158
mud_water_fish_rusty_axe_sign	159
no_swimming_allowed_the_bites	160
of_skeleton_keys_-_infected_chigger_bites	161
rusty_axe_fish_water_sign	162
axe_fish_water_sign	163
FRUIT*_-_chiggers	164
chigger_bites_-_ring_of_skeleton_keys_-_chiggers	165
fruit	166
chigger_bites_-_chiggers_-_dead_fish	167
no_swimming_allowed_golden_fish	168
FRUIT*_-_chiggers_-_evil_smelling_mud	169
you	170
bites_-_ring_of_skeleton_keys_-_chiggers	171
golden_fish	172
gas	173
Meadow	174
STATUE_OF_A_BLUE_OX*	175
swamp	176
FRUIT*_-_old_fashioned_lamp	177
bites_-_chiggers_-_ring_of_skeleton_keys	178
-_chigger_bites	179
mud	180
-_old_fashioned_lamp_-_evil_smelling_mud	181
smelling_mud	182
bites_-_chiggers_-_evil_smelling_mud	183
branch_on_top_of_old_oak_tree	184
exit_to_east	185
bites_-_chiggers_-_evil_smelling_mud_-_ring_of_skeleton_keys	186
chigger_bites_-_old_fashioned_lamp_-_chiggers_-_rusty_axe_(magic_word-_BUNYON_-on_it)	187
fashioned_lamp_-_chigger_bites	188
dragon	189
Dismal_Swamp	190
bites_-_chiggers_-_old_fashioned_lamp_-_rusty_axe_(magic_word-_BUNYON_-on_it)	191
fashioned_lamp_-_*JEWELLED_FRUIT*_-_chiggers	192
lamp	193
south	194
water_golden_fish_rusty_axe_sign	195
golden_fish_rusty_axe_water_sign	196
bites_-_evil_smelling_mud_-_chiggers	197
your	198
evil_mud_water_fish_axe_sign	199
of_skeleton_keys_-_infected_chigger_bites_-_chiggers	200
Lakeside	201
smelling	202
Grove	203
dead	204
trees	205
FRUIT*_-_chigger_bites_-_chiggers	206
bites_-_chiggers	207
skeleton_keys_water_fish_sign	208
in_a_large_misty_room_with_strange_letters_over_the_exits.	209
-_old_fashioned_lamp_-_rusty_axe_(magic_word-_BUNYON_-on_it)	210
chigger_bites_-_ring_of_skeleton_keys	211
golden	212
FRUIT*_-_infected_chigger_bites_-_chiggers	213
of_skeleton_keys_-_chigger_bites_-_evil_smelling_mud_-_old_fashioned_lamp_-_chiggers	214
chigger_bites_-_*JEWELLED_FRUIT*_-_chiggers_-_old_fashioned_lamp	215
water_golden_fish_sign	216
your_body	217
Misty_Room	218
bites_-_rusty_axe_(magic_word-_BUNYON_-on_it)_-_*JEWELLED_FRUIT*	219
nothing	220
bites	221
evil_mud_water_fish_rusty_axe_sign	222
smelling_mud_water_golden_fish_rusty_axe_sign	223
RING*_-_infected_chigger_bites_-_chiggers_-_old_fashioned_lamp	224
-_chigger_bites_-_evil_smelling_mud	225
no_swimming_allowed_bites	226
fashioned_lamp_-_infected_chigger_bites_-_chiggers	227
water_sign	228
ox	229
FISH*_-_infected_chigger_bites_-_chiggers_-_old_fashioned_lamp	230
jewelled	231
smelling_mud_water_fish_axe_sign	232
fashioned_lamp_-_chiggers	233
of_skeleton_keys_-_chiggers_-_infected_chigger_bites	234
sunny_meadow	235
chigger_bites_-_chiggers_-_old_fashioned_lamp_-_rusty_axe_(magic_word-_BUNYON_-on_it)	236
oily	237
smelling_mud_-_ring_of_skeleton_keys	238
water_fish_sign	239
water	240
bites_-_evil_smelling_mud_-_old_fashioned_lamp_-_chiggers	241
golden_fish_axe_water_sign	242
smelling_mud_water_fish_rusty_axe_sign	243
chigger_bites_are_now_infected.	244
FRUIT*_-_chigger_bites_-_chiggers_-_evil_smelling_mud	245
bites_have_rotted_your_whole_body.	246
bites_-_evil_smelling_mud_-_chiggers_-_old_fashioned_lamp	247
of_skeleton_keys_-_dead_fish	248
nothing_special_about_golden_fish	249
fashioned_lamp_-_evil_smelling_mud_-_chiggers	250
of_skeleton_keys_-_chigger_bites_-_chiggers_-_evil_smelling_mud	251
bites_-_chiggers_-_evil_smelling_mud_-_rusty_axe_(magic_word-_BUNYON_-on_it)	252
smells_something_-_awakens_-_attacks_you!	253
no_swimming_allowed_fish_escape	254
rusty	255
dry._Fish_die.	256
bites_-_old_fashioned_lamp_-_chiggers_-_rusty_axe_(magic_word-_BUNYON_-on_it)	257
rusty_axe	258
of_skeleton_keys	259
smelling_mud_-_chiggers_-_old_fashioned_lamp	260
keys	261
chigger	262
chigger_bites_-_*JEWELLED_FRUIT*_-_chiggers	263
